1,Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,GA
2,Los Angeles International Airport,LAX,Los Angeles,CA
3,O'Hare International Airport,ORD,Chicago,IL
4,Dallas/Fort Worth International Airport,DFW,Dallas/Fort Worth,TX
5,Denver International Airport,DEN,Denver,CO
6,John F. Kennedy International Airport,JFK,New York,NY
7,San Francisco International Airport,SFO,San Francisco,CA
8,Charlotte Douglas International Airport,CLT,Charlotte,NC
9,McCarran International Airport,LAS,Las Vegas,NV
10,Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ
11,Miami International Airport,MIA,Miami,FL
12,George Bush Intercontinental Airport,IAH,Houston,TX
13,Newark Liberty International Airport,EWR,Newark/New York,NJ
14,Orlando International Airport,MCO,Orlando,FL
15,Seattle–Tacoma International Airport,SEA,Seattle,WA
16,Minneapolis–Saint Paul International Airport,MSP,Minneapolis/St. Paul,MN
17,Detroit Metropolitan Wayne County Airport,DTW,Detroit,MI
18,Logan International Airport,BOS,Boston,MA
19,Philadelphia International Airport,PHL,Philadelphia,PA
20,LaGuardia Airport,LGA,New York,NY
21,Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale,FL
22,Baltimore–Washington International Airport,BWI,"Baltimore/Washington, D.C.",MD
23,Washington Dulles International Airport,IAD,"Washington, D.C.",VA
24,Midway International Airport,MDW,Chicago,IL
25,Ronald Reagan Washington National Airport,DCA,"Washington, D.C.",VA
26,Salt Lake City International Airport,SLC,Salt Lake City,UT
27,Honolulu International Airport,HNL,Honolulu,HI
28,San Diego International Airport,SAN,San Diego,CA
29,Tampa International Airport,TPA,Tampa,FL
30,Portland International Airport,PDX,Portland,OR
31,Lambert–St. Louis International Airport,STL,St. Louis,MO
32,William P. Hobby Airport,HOU,Houston,TX
33,Nashville International Airport,BNA,Nashville,TN
34,Austin-Bergstrom International Airport,AUS,Austin,TX
35,Kansas City International Airport,MCI,Kansas City,MO
36,Oakland International Airport,OAK,Oakland,CA
37,Louis Armstrong New Orleans International Airport,MSY,New Orleans,LA
38,John Wayne Airport,SNA,Santa Ana,CA
39,Raleigh-Durham International Airport,RDU,Raleigh,NC
40,Cleveland Hopkins International Airport,CLE,Cleveland,OH
41,San Jose International Airport,SJC,San Jose,CA
42,Sacramento International Airport,SMF,Sacramento,CA
43,Luis Muñoz Marín International Airport,SJU,San Juan,PR
44,Dallas Love Field,DAL,Dallas,TX
45,San Antonio International Airport,SAT,San Antonio,TX
46,Pittsburgh International Airport,PIT,Pittsburgh,PA
47,Southwest Florida International Airport,RSW,Fort Myers,FL
48,Indianapolis International Airport,IND,Indianapolis,IN
49,General Mitchell International Airport,MKE,Milwaukee,WI
50,Port Columbus International Airport,CMH,Columbus,OH
51,Kahului Airport,OGG,Kahului,HI
52,Palm Beach International Airport,PBI,West Palm Beach,FL
53,Cincinnati/Northern Kentucky International Airport,CVG,Cincinnati,KY
54,Bradley International Airport,BDL,Hartford,CT
55,Buffalo Niagara International Airport,BUF,Buffalo,NY
56,Jacksonville International Airport,JAX,Jacksonville,FL
57,Albuquerque International Sunport,ABQ,Albuquerque,NM
58,Ted Stevens Anchorage International Airport,ANC,Anchorage,AK
59,Memphis International Airport,MEM,Memphis,TN
60,Eppley Airfield,OMA,Omaha,NE
61,Ontario International Airport,ONT,Ontario,CA
62,Bob Hope Airport,BUR,Burbank,CA
63,Theodore Francis Green State Airport,PVD,Providence,RI